Icon,Name,Description,SP,Badge Color
,Squad Ace CB 1,Grants Spd/Def/Res+1.,120,
,Squad Ace CB 2,Grants Spd/Def/Res+2.,180,
,Squad Ace CB 3,Grants Spd/Def/Res+3.,240,
,Squad Ace CC 1,"Grants HP+3, Atk/Spd+1.",120,
,Squad Ace CC 2,"Grants HP+4, Atk/Spd+2.",180,
,Squad Ace CC 3,"Grants HP+5, Atk/Spd+3.",240,
,Squad Ace CD 1,"Grants HP+3, Atk/Def+1.",120,
,Squad Ace CD 2,"Grants HP+4, Atk/Def+2.",180,
,Squad Ace CD 3,"Grants HP+5, Atk/Def+3.",240,
,Squad Ace CE 1,"Grants HP+3, Atk/Res+1.",120,
,Squad Ace CE 2,"Grants HP+4, Atk/Res+2.",180,
,Squad Ace CE 3,"Grants HP+5, Atk/Res+3.",240,
,Squad Ace CF 1,"Grants HP+3, Spd/Def+1.",120,
,Squad Ace CF 2,"Grants HP+4, Spd/Def+2.",180,
,Squad Ace CF 3,"Grants HP+5, Spd/Def+3.",240,
,Squad Ace CG 1,"Grants HP+3, Spd/Res+1.",120,
,Squad Ace CG 2,"Grants HP+4, Spd/Res+2.",180,
,Squad Ace CG 3,"Grants HP+5, Spd/Res+3.",240,
,Squad Ace CH 1,"Grants HP+3, Def/Res+1.",120,
,Squad Ace CH 2,"Grants HP+4, Def/Res+2.",180,
,Squad Ace CH 3,"Grants HP+5, Def/Res+3.",240,
,Squad Ace CI 1,Grants Atk/Spd/Def+1.,120,
,Squad Ace CI 2,Grants Atk/Spd/Def+2.,180,
,Squad Ace CI 3,Grants Atk/Spd/Def+3.,240,
,Squad Ace CJ 1,Grants Atk/Spd/Res+1.,120,
,Squad Ace CJ 2,Grants Atk/Spd/Res+2.,180,
,Squad Ace CJ 3,Grants Atk/Spd/Res+3.,240,
,Squad Ace CK 1,Grants Atk/Def/Res+1.,120,
,Squad Ace CK 2,Grants Atk/Def/Res+2.,180,
,Squad Ace CK 3,Grants Atk/Def/Res+3.,240,
,Squad Ace CL 1,Grants Spd/Def/Res+1.,120,
,Squad Ace CL 2,Grants Spd/Def/Res+2.,180,
,Squad Ace CL 3,Grants Spd/Def/Res+3.,240,
,Squad Ace CM 1,"Grants HP+3, Atk/Spd+1.",120,
,Squad Ace CM 2,"Grants HP+4, Atk/Spd+2.",180,
,Squad Ace CM 3,"Grants HP+5, Atk/Spd+3.",240,
,Squad Ace CN 1,"Grants HP+3, Atk/Def+1.",120,
,Squad Ace CN 2,"Grants HP+4, Atk/Def+2.",180,
,Squad Ace CN 3,"Grants HP+5, Atk/Def+3.",240,
,Squad Ace CO 1,"Grants HP+3, Atk/Res+1.",120,
,Squad Ace CO 2,"Grants HP+4, Atk/Res+2.",180,
,Squad Ace CO 3,"Grants HP+5, Atk/Res+3.",240,
,Squad Ace CP 1,"Grants HP+3, Spd/Def+1.",120,
,Squad Ace CP 2,"Grants HP+4, Spd/Def+2.",180,
,Squad Ace CP 3,"Grants HP+5, Spd/Def+3.",240,
,Squad Ace D 1,Grants Spd+1.,30,
,Squad Ace D 2,Grants Spd+2.,60,
,Squad Ace D 3,Grants Spd+3.,120,
,Squad Ace E 1,Grants Atk+1.,30,
,Squad Ace E 2,Grants Atk+2.,60,
,Squad Ace E 3,Grants Atk+3.,120,
,Squad Ace F 1,Grants HP+3.,40,
,Squad Ace F 2,Grants HP+4.,80,
,Squad Ace F 3,Grants HP+5.,160,
,Squad Ace G 1,Grants Def+1.,30,
,Squad Ace G 2,Grants Def+2.,60,
,Squad Ace G 3,Grants Def+3.,120,
,Squad Ace H 1,Grants Res+1.,30,
,Squad Ace H 2,Grants Res+2.,60,
,Squad Ace H 3,Grants Res+3.,120,
,Squad Ace I 1,Grants Spd+1.,30,
,Squad Ace I 2,Grants Spd+2.,60,
,Squad Ace I 3,Grants Spd+3.,120,
,Squad Ace J 1,Grants Atk+1.,30,
,Squad Ace J 2,Grants Atk+2.,60,
,Squad Ace J 3,Grants Atk+3.,120,
,Squad Ace K 1,Grants HP+3.,40,
,Squad Ace K 2,Grants HP+4.,80,
,Squad Ace K 3,Grants HP+5.,160,
,Squad Ace L 1,Grants Def+1.,30,
,Squad Ace L 2,Grants Def+2.,60,
,Squad Ace L 3,Grants Def+3.,120,
,Squad Ace M 1,Grants Res+1.,30,
,Squad Ace M 2,Grants Res+2.,60,
,Squad Ace M 3,Grants Res+3.,120,
,Squad Ace N 1,Grants Spd+1.,30,
,Squad Ace N 2,Grants Spd+2.,60,
,Squad Ace N 3,Grants Spd+3.,120,
,Squad Ace O 1,Grants Atk+1.,30,
,Squad Ace O 2,Grants Atk+2.,60,
,Squad Ace O 3,Grants Atk+3.,120,
,Squad Ace P 1,Grants HP+3.,40,
,Squad Ace P 2,Grants HP+4.,80,
,Squad Ace P 3,Grants HP+5.,160,
,Squad Ace Q 1,Grants Def+1.,30,
,Squad Ace Q 2,Grants Def+2.,60,
,Squad Ace Q 3,Grants Def+3.,120,
,Squad Ace R 1,Grants Res+1.,30,
,Squad Ace R 2,Grants Res+2.,60,
,Squad Ace R 3,Grants Res+3.,120,
,Squad Ace S 1,Grants Spd+1.,30,
,Squad Ace S 2,Grants Spd+2.,60,
,Squad Ace S 3,Grants Spd+3.,120,
,Squad Ace T 1,Grants Atk+1.,30,
,Squad Ace T 2,Grants Atk+2.,60,
,Squad Ace T 3,Grants Atk+3.,120,
,Squad Ace U 1,Grants HP+3.,40,
,Squad Ace U 2,Grants HP+4.,80,
,Squad Ace U 3,Grants HP+5.,160,
,Squad Ace V 1,Grants Def+1.,30,
,Squad Ace V 2,Grants Def+2.,60,
,Squad Ace V 3,Grants Def+3.,120,
,Squad Ace W 1,Grants Res+1.,30,
,Squad Ace W 2,Grants Res+2.,60,
,Squad Ace W 3,Grants Res+3.,120,
,Squad Ace X 1,Grants Spd+1.,30,
,Squad Ace X 2,Grants Spd+2.,60,
,Squad Ace X 3,Grants Spd+3.,120,
,Squad Ace Y 1,Grants Atk+1.,30,
,Squad Ace Y 2,Grants Atk+2.,60,
,Squad Ace Y 3,Grants Atk+3.,120,
,Squad Ace Z 1,Grants HP+3.,40,
,Squad Ace Z 2,Grants HP+4.,80,
,Squad Ace Z 3,Grants HP+5.,160,
,Steady Blow 1,"If unit initiates combat, grants Spd/Def+2 during combat.",120,
,Steady Blow 2,"If unit initiates combat, grants Spd/Def+4 during combat.",240,
,Steady Breath,"If foe initiates combat, grants Def+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",240,
,Steady Posture 1,"If foe initiates combat, grants Spd/Def+2 during combat.",120,
,Steady Posture 2,"If foe initiates combat, grants Spd/Def+4 during combat.",240,
,Steady Stance 1,"If foe initiates combat, grants Def+2 during combat.",50,
,Steady Stance 2,"If foe initiates combat, grants Def+4 during combat.",100,
,Steady Stance 3,"If foe initiates combat, grants Def+6 during combat.",200,
,Still Water 1,Grants Atk/Res+3. Inflicts Def-3.,50,
,Still Water 2,Grants Atk/Res+4. Inflicts Def-4.,100,
,Still Water 3,Grants Atk/Res+5. Inflicts Def-5.,200,
,Sturdy Blow 1,"If unit initiates combat, grants Atk/Def+2 during combat.",120,
,Sturdy Blow 2,"If unit initiates combat, grants Atk/Def+4 during combat.",240,
,Sturdy Stance 1,"If foe initiates combat, grants Atk/Def+2 during combat.",120,
,Sturdy Stance 2,"If foe initiates combat, grants Atk/Def+4 during combat.",240,
,Swift Sparrow 1,"If unit initiates combat, grants Atk/Spd+2 during combat.",120,
,Swift Sparrow 2,"If unit initiates combat, grants Atk/Spd+4 during combat.",240,
,Swift Stance 1,"If foe initiates combat, grants Spd/Res+2 during combat.",120,
,Swift Stance 2,"If foe initiates combat, grants Spd/Res+4 during combat.",240,
,Swift Strike 1,"If unit initiates combat, grants Spd/Res+2 during combat.",120,
,Swift Strike 2,"If unit initiates combat, grants Spd/Res+4 during combat.",240,
,Threat. Atk/Def 1,"At start of turn, inflicts Atk/Def-3 on foes within 2 spaces through their next actions.",100,
,Threat. Atk/Def 2,"At start of turn, inflicts Atk/Def-4 on foes within 2 spaces through their next actions.",200,
,Threat. Atk/Res 1,"At start of turn, inflicts Atk/Res-3 on foes within 2 spaces through their next actions.",100,
,Threat. Atk/Res 2,"At start of turn, inflicts Atk/Res-4 on foes within 2 spaces through their next actions.",200,
,Threat. Def/Res 1,"At start of turn, inflicts Def/Res-3 on foes within 2 spaces of unit through their next actions.",100,
,Threat. Def/Res 2,"At start of turn, inflicts Def/Res-4 on foes within 2 spaces of unit through their next actions.",200,
,Threat. Spd/Def 1,"At start of turn, inflicts Spd/Def-3 on foes within 2 spaces through their next actions.",100,
,Threat. Spd/Def 2,"At start of turn, inflicts Spd/Def-4 on foes within 2 spaces through their next actions.",200,
,Threat. Spd/Res 1,"At start of turn, inflicts Spd/Res-3 on foes within 2 spaces through their next actions.",100,
,Threat. Spd/Res 2,"At start of turn, inflicts Spd/Res-4 on foes within 2 spaces through their next actions.",200,
,Threaten Atk 1,"At start of turn, inflicts Atk-3 on foes within 2 spaces through their next actions.",50,
,Threaten Atk 2,"At start of turn, inflicts Atk-4 on foes within 2 spaces through their next actions.",100,
,Threaten Atk 3,"At start of turn, inflicts Atk-5 on foes within 2 spaces through their next actions.",200,
,Threaten Def 1,"At start of turn, inflicts Def-3 on foes within 2 spaces through their next actions.",50,
,Threaten Def 2,"At start of turn, inflicts Def-4 on foes within 2 spaces through their next actions.",100,
,Threaten Def 3,"At start of turn, inflicts Def-5 on foes within 2 spaces through their next actions.",200,
,Threaten Res 1,"At start of turn, inflicts Res-3 on foes within 2 spaces through their next actions.",50,
,Threaten Res 2,"At start of turn, inflicts Res-4 on foes within 2 spaces through their next actions.",100,
,Threaten Res 3,"At start of turn, inflicts Res-5 on foes within 2 spaces through their next actions.",200,
,Threaten Spd 1,"At start of turn, inflicts Spd-3 on foes within 2 spaces through their next actions.",50,
,Threaten Spd 2,"At start of turn, inflicts Spd-4 on foes within 2 spaces through their next actions.",100,
,Threaten Spd 3,"At start of turn, inflicts Spd-5 on foes within 2 spaces through their next actions.",200,
,Time's Pulse 1,"At the start of every third turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",60,
,Time's Pulse 2,"At start of odd-numbered turns, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",120,
,Time's Pulse 3,"At start of turn, if Special cooldown count is at its maximum value, grants Special cooldown count-1.",240,
,Torrent Dance 1,"If Sing or Dance is used, grants Res+3 to target.",50,
,Torrent Dance 2,"If Sing or Dance is used, grants Res+4 to target.",100,
,Torrent Dance 3,"If Sing or Dance is used, grants Res+5 to target.",200,
,Ward Beasts,Grants Def/Res+4 to beast allies within 2 spaces during combat.,200,
,Ward Dragons,Grants Def/Res+4 to dragon allies within 2 spaces during combat.,200,
,Warding Blow 1,"If unit initiates combat, grants Res+2 during combat.",50,
,Warding Blow 2,"If unit initiates combat, grants Res+4 during combat.",100,
,Warding Blow 3,"If unit initiates combat, grants Res+6 during combat.",200,
,Warding Breath,"If foe initiates combat, grants Res+4 during combat and Special cooldown charge +1 per attack. (Only highest value applied. Does not stack.)",240,
,Warding Stance 1,"If foe initiates combat, grants Res+2 during combat.",50,
,Warding Stance 2,"If foe initiates combat, grants Res+4 during combat.",100,
,Warding Stance 3,"If foe initiates combat, grants Res+6 during combat.",200,
,Water Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+2 during combat.",50,
,Water Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+4 during combat.",100,
,Water Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Res+6 during combat.",200,
,Wily Fighter 1,"If unit's HP ≥ 75% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",60,
,Wily Fighter 2,"If unit's HP ≥ 50% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",120,
,Wily Fighter 3,"If unit's HP ≥ 25% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",240,
,Wind Boost 1,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+2 during combat.",50,
,Wind Boost 2,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+4 during combat.",100,
,Wind Boost 3,"At start of combat, if unit's HP ≥ foe's HP+3, grants Spd+6 during combat.",200,
,Wrathful Staff 1,"At start of combat, if unit's HP = 100%, calculates damage from staff like other weapons.",60,
,Wrathful Staff 2,"At start of combat, if unit's HP ≥ 50%, calculates damage from staff like other weapons.",120,
,Wrathful Staff 3,Calculates damage from staff like other weapons.,240,
